id,release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,roi,profit_musd,intl_share
16,2014-04-04,Captain America: The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,tt1843866,136.0,"Action,Adventure,Sci-Fi",7.8,666252,BV,454500000.0,3.2023640529411765,544.401889,0.6363345267478199
17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,tt2103281,130.0,"Action,Adventure,Drama",7.6,390199,Fox,502100000.0,3.1802621529411765,540.644566,0.7065406551056493
19,2012-06-01,Snow White and the Huntsman,170000000.0,155136755.0,401021746.0,2012,tt1735898,127.0,"Action,Adventure,Drama",6.1,258938,Uni.,241300000.0,1.3589514470588235,231.021746,0.608672119718062
23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,tt1964418,130.0,"Action,Adventure,Family",6.4,161343,BV,115700000.0,0.2154559882352941,36.627518,0.5532276693667779
26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,tt2567026,113.0,"Adventure,Family,Fantasy",6.2,79951,BV,222400000.0,0.628988894117647,106.928112,0.742713837825114
27,2010-05-21,Shrek Forever After,165000000.0,238736787.0,756244673.0,2010,tt0892791,93.0,"Adventure,Animation,Comedy",6.3,167532,P/DW,513900000.0,3.5833010484848486,591.244673,0.6827994709751013
28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,tt1211837,115.0,"Action,Adventure,Fantasy",7.5,514510,BV,445100000.0,3.099421612121212,511.404566,0.6567396627908157
29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,tt2245084,102.0,"Action,Adventure,Animation",7.8,371204,BV,435300000.0,2.952289866666667,487.127828,0.6617232982123098
30,2010-03-26,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,2010,tt0892769,98.0,"Action,Adventure,Animation",8.1,611299,P/DW,277300000.0,1.9992181333333334,329.870992,0.5603364647297839
31,2012-11-02,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,2012,tt1772341,101.0,"Adventure,Animation,Comedy",7.7,344496,BV,281800000.0,2.0091607333333332,331.511521,0.5980314489713952
32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,2014,tt0816692,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Par.,489400000.0,3.038662878787879,501.379375,0.722449176992068
33,2016-06-24,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2016,tt1628841,120.0,"Action,Adventure,Sci-Fi",5.2,155344,Fox,286500000.0,1.3282995393939394,219.169424,0.7352860295762171
36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,2018,tt1477834,143.0,"Action,Adventure,Fantasy",7.1,263328,WB,812700000.0,6.1680915,986.89464,0.7080737440847776
38,2010-07-16,Inception,160000000.0,292576195.0,835524642.0,2010,tt1375666,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,WB,535700000.0,4.2220290125,675.524642,0.6467649356987738
39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,tt1951266,137.0,"Action,Adventure,Sci-Fi",6.6,252384,LGF,371700000.0,3.05616741875,488.986787,0.5688497143466906
42,2011-06-03,X-Men: First Class,160000000.0,146408305.0,355408305.0,2011,tt1270798,131.0,"Action,Adventure,Sci-Fi",7.7,608930,Fox,207200000.0,1.22130190625,195.408305,0.5859590882629298
44,2010-07-14,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,2010,tt0963966,109.0,"Action,Adventure,Family",6.1,143862,BV,152100000.0,0.3624145,57.98632,0.7066169558308794
46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,tt0803096,123.0,"Action,Adventure,Fantasy",6.9,225557,Uni.,386300000.0,1.65951425625,265.522281,0.8910660662054706
47,2016-09-30,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,tt1860357,107.0,"Action,Drama,History",7.1,133303,LG/S,60400000.0,-0.2140780512820513,-33.396176,0.4957584458668754
48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,2010,tt0980970,113.0,"Adventure,Family,Fantasy",6.3,129663,Fox,311300000.0,1.6979803225806451,263.18695,0.748880858540303
52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,tt3450958,140.0,"Action,Adventure,Drama",7.5,201943,Fox,343800000.0,2.2210017565789473,337.592267,0.7006600768180231
55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,tt0451279,141.0,"Action,Adventure,Fantasy",7.5,487527,WB,409300000.0,4.47422252,671.133378,0.4980146287276973
56,2013-11-22,Frozen,150000000.0,400738009.0,1272469910.0,2013,tt2294629,102.0,"Adventure,Animation,Comedy",7.5,516998,BV,875700000.0,7.483132733333333,1122.46991,0.6860497680463541
57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,tt2948356,108.0,"Adventure,Animation,Comedy",8.0,383446,BV,682500000.0,5.79619744,869.429616,0.6666547837689922
62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,tt3521164,107.0,"Adventure,Animation,Comedy",7.6,224253,BV,394600000.0,3.2501157666666667,487.517365,0.6133452702198128
66,2013-11-08,Thor: The Dark World,150000000.0,206362140.0,644602516.0,2013,tt1981115,112.0,"Action,Adventure,Fantasy",6.9,540996,BV,438200000.0,3.297350106666667,494.602516,0.679841357111046
69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,2017,tt5013056,106.0,"Action,Drama,History",7.9,466580,WB,337200000.0,2.33224912,349.837368,0.6395226354219525
70,2011-05-06,Thor,150000000.0,181030624.0,449326618.0,2011,tt0800369,115.0,"Action,Adventure,Fantasy",7.0,683264,Par.,268300000.0,1.9955107866666666,299.326618,0.5971104253067782
74,2011-05-26,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,2011,tt1302011,90.0,"Action,Adventure,Animation",7.2,228465,P/DW,500400000.0,3.4322503133333333,514.837547,0.7517474714750706
75,2015-05-15,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,2015,tt1392190,120.0,"Action,Adventure,Sci-Fi",8.1,780910,WB,224800000.0,1.4673201333333334,220.09802,0.5940232687053105
78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,2018,tt1677720,140.0,"Action,Adventure,Sci-Fi",7.5,301660,WB,445200000.0,2.86193424,429.290136,0.7637802477822528
83,2010-07-01,The Last Airbender,150000000.0,131772187.0,319713881.0,2010,tt0938283,103.0,"Action,Adventure,Family",4.1,137734,Par.,187900000.0,1.1314258733333333,169.713881,0.5877896408923432
87,2012-03-30,Wrath of the Titans,150000000.0,83670083.0,305270083.0,2012,tt1646987,99.0,"Action,Adventure,Fantasy",5.7,172330,WB,221600000.0,1.0351338866666666,155.270083,0.7259145666101844
89,2012-05-11,Dark Shadows,150000000.0,79727149.0,238202668.0,2012,tt1077368,113.0,"Comedy,Fantasy,Horror",6.2,229818,WB,165800000.0,0.5880177866666667,88.202668,0.6752817383954554
90,2013-06-28,White House Down,150000000.0,73103784.0,205440387.0,2013,tt2334879,131.0,"Action,Drama,Thriller",6.4,191791,Sony,132300000.0,0.36960258,55.440387,0.6440971895629732
91,2010-02-12,The Wolfman,150000000.0,62189884.0,142634358.0,2010,tt0780653,103.0,"Drama,Fantasy,Horror",5.8,97873,Uni.,77800000.0,-0.04910428,-7.365642,0.5557544429424629
92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,tt7535780,72.0,Documentary,6.5,24,Uni.,289400000.0,1.2299123466666666,184.486852,0.8650242235925613
93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,2015,tt3332064,111.0,"Adventure,Comedy,Family",5.8,55867,WB,93300000.0,0.010173153333333334,1.525973,0.7267016189634695
94,2011-03-11,Mars Needs Moms,150000000.0,21392758.0,39549758.0,2011,tt1305591,88.0,"Adventure,Animation,Family",5.4,19823,BV,17600000.0,-0.7363349466666667,-110.450242,0.4513658664514062
