Movie,Year,Studio,Production_Budget,Domestic_Gross,Foreign_Gross,Worldwide_Gross,ROI,Profit_USD_Millions,International_Share,Genres,Runtime_Minutes,IMDb_Rating,IMDb_Num_Votes
The SpongeBob Movie: Sponge Out of Water,2015,Par.,74000000.0,162994032.0,162200000.0,311013181.0,3.2028808243243243,237.013181,0.4987791411866992,"Adventure,Animation,Comedy",92.0,6.0,43560
The Angry Birds Movie,2016,Sony,73000000.0,107509366.0,244800000.0,352327887.0,3.826409410958904,279.327887,0.6948438606085766,"Action,Animation,Comedy",97.0,6.3,69624
Olympus Has Fallen,2013,FD,70000000.0,98927592.0,71300000.0,172878928.0,1.4696989714285715,102.878928,0.4188510168198819,"Action,Thriller",119.0,6.5,235443
War Horse,2011,BV,70000000.0,79883359.0,97700000.0,156815529.0,1.2402218428571428,86.815529,0.5501641626229178,"Drama,History,War",146.0,7.2,136447
The Monuments Men,2014,Sony,70000000.0,78031620.0,77000000.0,158702748.0,1.2671821142857145,88.702748,0.4966728722824415,"Comedy,Drama,History",118.0,6.1,117638
Storks,2016,WB,70000000.0,72679278.0,110700000.0,183353431.0,1.6193347285714286,113.353431,0.6036668985031122,"Adventure,Animation,Comedy",87.0,6.8,50448
Dracula Untold,2014,Uni.,70000000.0,55991880.0,160800000.0,220241723.0,2.1463103285714284,150.241723,0.7417251974566575,"Action,Drama,Fantasy",92.0,6.3,164829
The Dilemma,2011,Uni.,70000000.0,48475290.0,21200000.0,70546865.0,0.0078123571428571,0.546865,0.3042685577627305,"Comedy,Drama",111.0,5.3,48148
Rock of Ages,2012,WB (NL),70000000.0,38518613.0,20900000.0,61031932.0,-0.1281152571428571,-8.968068,0.3517416335517626,"Comedy,Drama,Musical",123.0,5.9,69910
The Finest Hours,2016,BV,70000000.0,27569558.0,24500000.0,49252761.0,-0.2963891285714286,-20.747239,0.4705244473171829,"Action,Drama,History",117.0,6.8,55981
Escape Plan,2013,LG/S,70000000.0,25135965.0,112200000.0,103735965.0,0.4819423571428571,33.735965,0.8169746358865283,"Action,Crime,Mystery",115.0,6.7,211587
Killer Elite,2011,ORF,70000000.0,25124986.0,31300000.0,65409046.0,-0.0655850571428571,-4.590954,0.5547187907144541,"Action,Crime,Thriller",116.0,6.5,117711
The Legend of Hercules,2014,LG/S,70000000.0,18848538.0,42400000.0,58953319.0,-0.1578097285714285,-11.046681,0.6922614218154889,"Action,Adventure,Fantasy",99.0,4.2,50352
Blackhat,2015,Uni.,70000000.0,8005980.0,11600000.0,19665004.0,-0.7190713714285715,-50.334996,0.591656219173946,"Action,Crime,Thriller",133.0,5.4,48427
Despicable Me,2010,Uni.,69000000.0,251513985.0,291600000.0,543464573.0,6.87629815942029,474.464573,0.5369038692678849,"Animation,Comedy,Family",95.0,7.7,464511
Dinner for Schmucks,2010,P/DW,69000000.0,73026337.0,13800000.0,86796502.0,0.2579203188405797,17.796502,0.1589379498987732,Comedy,114.0,5.9,91546
Red Sparrow,2018,Fox,69000000.0,46874505.0,104700000.0,145951861.0,1.1152443623188406,76.951861,0.6907494106611135,"Action,Drama,Thriller",140.0,6.6,136738
The Twilight Saga: Eclipse,2010,Sum.,68000000.0,300531751.0,398000000.0,706102828.0,9.383865117647058,638.102828,0.5697665130185328,"Adventure,Drama,Fantasy",124.0,5.0,211733
Ted 2,2015,Uni.,68000000.0,81476385.0,135200000.0,217214143.0,2.194325632352941,149.214143,0.6239720124553491,Comedy,115.0,6.3,165843
Hall Pass,2011,WB (NL),68000000.0,45060734.0,38100000.0,87173475.0,0.2819628676470588,19.173475,0.458148914366244,"Comedy,Romance",105.0,5.9,113775
Downsizing,2017,Par.,68000000.0,24449754.0,30600000.0,54462971.0,-0.1990739558823529,-13.537029,0.5558607945822973,"Drama,Sci-Fi",135.0,5.7,74815
Abraham Lincoln: Vampire Hunter,2012,Fox,67500000.0,37519139.0,79000000.0,137489730.0,1.0368848888888889,69.98973,0.6780002038978334,"Action,Fantasy,Horror",105.0,5.9,142853
Need for Speed,2014,BV,66000000.0,43568507.0,159700000.0,194169619.0,1.9419639242424245,128.169619,0.785660318742834,"Action,Crime,Thriller",132.0,6.5,154909
Lincoln,2012,BV,65000000.0,182207973.0,93100000.0,273346281.0,3.2053274,208.346281,0.338166740997363,"Biography,Drama,History",150.0,7.4,228701
Hotel Transylvania 3: Summer Vacation,2018,Sony,65000000.0,167500092.0,361100000.0,527079962.0,7.108922492307692,462.079962,0.6831251175794347,"Adventure,Animation,Comedy",97.0,6.3,42299
Unbroken,2014,Uni.,65000000.0,115637895.0,47800000.0,163527824.0,1.5158126769230769,98.527824,0.2924658323579118,"Biography,Drama,Sport",137.0,7.2,129981
Due Date,2010,WB,65000000.0,100539043.0,111200000.0,211739043.0,2.2575237384615385,146.739043,0.5251747548514234,"Adventure,Comedy",95.0,6.5,303523
The Dictator,2012,Par.,65000000.0,59650222.0,119700000.0,180148897.0,1.7715214923076923,115.148897,0.6674092658775744,Comedy,83.0,6.4,250976
This Means War,2012,Fox,65000000.0,54760791.0,101700000.0,156974557.0,1.4149931846153847,91.974557,0.6500031052508228,"Action,Comedy,Romance",103.0,6.3,167438
Resident Evil: Retribution,2012,SGem,65000000.0,42345531.0,197700000.0,240647629.0,2.702271215384616,175.647629,0.8235937539699499,"Action,Horror,Sci-Fi",95.0,5.4,125191
"I, Frankenstein",2014,LGF,65000000.0,19075290.0,52100000.0,74575290.0,0.1473121538461538,9.57529,0.7319956125222672,"Action,Fantasy,Horror",92.0,5.1,74910
Hop,2011,Uni.,63000000.0,108085305.0,75900000.0,188657593.0,1.9945649682539683,125.657593,0.4125329465850547,"Adventure,Animation,Comedy",95.0,5.4,28893
American Assassin,2017,LGF,63000000.0,36249674.0,31000000.0,68310140.0,0.0842879365079365,5.31014,0.4609687773356343,"Action,Thriller",112.0,6.2,57793
The Hateful Eight,2015,Wein.,62000000.0,54117416.0,101600000.0,147864886.0,1.3849175161290324,85.864886,0.6524639478990584,"Crime,Drama,Mystery",168.0,7.8,434966
Gone Girl,2014,Fox,61000000.0,167767189.0,201600000.0,368567189.0,5.042085065573771,307.567189,0.5457983437722185,"Drama,Mystery,Thriller",149.0,8.1,761592
Maze Runner: The Scorch Trials,2015,Fox,61000000.0,81697192.0,230600000.0,310566162.0,4.09124855737705,249.566162,0.7383992104546364,"Action,Sci-Fi,Thriller",131.0,6.3,201143
2 Guns,2013,Uni.,61000000.0,75612460.0,56300000.0,132493015.0,1.1720166393442624,71.493015,0.4267981963189831,"Action,Comedy,Crime",109.0,6.7,182025
Sully,2016,WB,60000000.0,125070033.0,115700000.0,238524556.0,2.9754092666666665,178.524556,0.4805415298506023,"Biography,Drama",96.0,7.5,202718
